Date,Fine
17/07/2018,400000.00
27/09/2018,300.00
25/10/2018,388.00
21/11/2018,20000.00
04/12/2018,500.00
09/12/2018,4800.00
17/12/2018,5000.00
18/12/2018,3200.00
20/12/2018,2200.00
10/01/2019,388.00
17/01/2019,500.00
21/01/2019,50000000.00
04/02/2019,1165.00
04/02/2019,1165.00
05/02/2019,20000.00
05/02/2019,2500.00
08/02/2019,1560.00
18/02/2019,5000.00
20/02/2019,1560.00
22/02/2019,500.00
26/02/2019,776.00
26/02/2019,27100.00
28/02/2019,3200.00
28/02/2019,582.00
19/03/2019,2000.00
21/03/2019,10000.00
25/03/2019,2000.00
26/03/2019,220000.00
26/03/2019,5100.00
05/04/2019,1900.00
05/04/2019,34375.00
08/04/2019,510.00
12/04/2019,80000.00
17/04/2019,50000.00
17/04/2019,9400.00
25/04/2019,12950.00
29/04/2019,120000.00
06/05/2019,194.00
09/05/2019,1400.00
16/05/2019,61500.00
21/05/2019,286.00
23/05/2019,92146.00
28/05/2019,400000.00
28/05/2019,2000.00
31/05/2019,2000.00
03/06/2019,2850.00
11/06/2019,250000.00
13/06/2019,20000.00
18/06/2019,460000.00
25/06/2019,15150.00
26/06/2019,2850.00
26/06/2019,2850.00
27/06/2019,130000.00
02/07/2019,15000.00
07/01/2020,44000.00
09/01/2020,3000.00
13/01/2020,15000.00
13/01/2020,1000.00
13/01/2020,9000.00
14/01/2020,3600.00
15/01/2020,10000.00
15/01/2020,27800000.00
23/01/2020,30000.00
23/01/2020,30000.00
24/01/2020,1450.00
30/01/2020,4000.00
03/02/2020,800.00
03/02/2020,5000.00
03/02/2020,6670.00
03/02/2020,75000.00
03/02/2020,20000.00
03/02/2020,50000.00
03/02/2020,60000.00
03/02/2020,75000.00
03/02/2020,60000.00
04/02/2020,1500.00
06/02/2020,20000.00
11/02/2020,3000.00
13/02/2020,4000.00
14/02/2020,30000.00
14/02/2020,42000.00
14/02/2020,80000.00
14/02/2020,3000.00
14/02/2020,2500.00
18/02/2020,1500.00
20/02/2020,2560.00
20/02/2020,2560.00
21/02/2020,5000.00
25/02/2020,6000.00
25/02/2020,48000.00
27/02/2020,120000.00
28/02/2020,3600.00
28/02/2020,48000.00
03/03/2020,525000.00
03/03/2020,24000.00
03/03/2020,40000.00
03/03/2020,42000.00
03/03/2020,1800.00
04/03/2020,60000.00
04/03/2020,290.00
05/03/2020,3000.00
06/03/2020,3200.00
06/03/2020,4000.00
06/03/2020,4000.00
06/03/2020,4000.00
09/03/2020,15000.00
09/03/2020,4400.00
09/03/2020,870.00
09/06/2020,2000.00
09/06/2020,2000.00
09/06/2020,3000.00
09/06/2020,40000.00
09/06/2020,25000.00
09/06/2020,39000.00
09/06/2020,75000.00
09/06/2020,1000.00
09/06/2020,540.00
09/06/2020,5000.00
11/06/2020,3000.00
12/06/2020,288000.00
15/06/2020,75000.00
16/06/2020,1900.00
16/06/2020,2000.00
16/06/2020,1000.00
18/06/2020,4000.00
19/06/2020,6000.00
19/06/2020,10000.00
22/06/2020,2000.00
22/06/2020,112000.00
23/06/2020,7500.00
25/06/2020,13500.00
29/06/2020,5000.00
04/01/2021,54000.00
04/01/2021,95500.00
04/01/2021,118500.00
05/01/2021,19000.00
05/01/2021,5500.00
05/01/2021,20000.00
06/01/2021,9700.00
07/01/2021,7250.00
08/01/2021,10400000.00
11/01/2021,30000.00
12/01/2021,38600.00
12/01/2021,10000.00
13/01/2021,6000000.00
14/01/2021,38600.00
14/01/2021,75000.00
14/01/2021,18000.00
14/01/2021,2000.00
14/01/2021,30000.00
14/01/2021,8000.00
15/01/2021,4600.00
19/01/2021,9700.00
20/01/2021,1200.00
21/01/2021,75000.00
21/01/2021,50000.00
22/01/2021,25000.00
27/01/2021,50000.00
27/01/2021,50000.00
27/01/2021,50000.00
27/01/2021,75000.00
27/01/2021,150000.00
27/01/2021,50000.00
01/02/2021,3000.00
01/02/2021,24000.00
03/02/2021,100000.00
03/02/2021,19300.00
04/02/2021,2000.00
08/02/2021,5000.00
08/02/2021,3000.00
09/02/2021,5000.00
09/02/2021,65000.00
10/02/2021,1000.00
11/02/2021,440000.00
11/02/2021,24000.00
11/02/2021,22200.00
11/02/2021,45000.00
11/02/2021,60000.00
11/02/2021,350000.00
11/02/2021,5000.00
11/02/2021,75000.00
12/02/2021,1600.00
12/02/2021,120000.00
12/02/2021,13450.00
16/02/2021,1000.00
